"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-11-08","0.00","0.0","55","31"
"USC00050848","BOULDER, CO US","2021-11-09","0.00","0.0","55","28"
"USC00050848","BOULDER, CO US","2021-11-10","0.00","0.0","57","37"
"USC00050848","BOULDER, CO US","2021-11-11","0.00","0.0","55","26"
"USC00050848","BOULDER, CO US","2021-11-12","0.00","0.0","56","24"
"USC00050848","BOULDER, CO US","2021-11-13","0.00","0.0","67","39"
"USC00050848","BOULDER, CO US","2021-11-14","0.00","0.0","66","31"
"USC00050848","BOULDER, CO US","2021-11-15","0.00","0.0","73","53"
"USC00050848","BOULDER, CO US","2021-11-16","0.00","0.0","72","56"
"USC00050848","BOULDER, CO US","2021-11-17","0.02","0.3","59","24"
"USC00050848","BOULDER, CO US","2021-11-18","0.00","0.0","51","16"
"USC00050848","BOULDER, CO US","2021-11-19","0.00","0.0","66","29"
"USC00050848","BOULDER, CO US","2021-11-20","0.00","0.0","58","35"
"USC00050848","BOULDER, CO US","2021-11-21","0.00","0.0","58","25"
"USC00050848","BOULDER, CO US","2021-11-22","0.00","0.0","70","31"
"USC00050848","BOULDER, CO US","2021-11-23","0.00","0.0","70","33"
"USC00050848","BOULDER, CO US","2021-11-24","0.01","0.2","57","32"
"USC00050848","BOULDER, CO US","2021-11-25","0.01","0.2","61","17"
"USC00050848","BOULDER, CO US","2021-11-26","0.00","0.0","72","34"
"USC00050848","BOULDER, CO US","2021-11-27","0.00","0.0","58","34"
"USC00050848","BOULDER, CO US","2021-11-28","0.00","0.0","67","28"
"USC00050848","BOULDER, CO US","2021-11-29","0.00","0.0","74","47"
"USC00050848","BOULDER, CO US","2021-11-30","0.00","0.0","59","36"
"USC00050848","BOULDER, CO US","2021-12-01","0.00","0.0","72","42"
"USC00050848","BOULDER, CO US","2021-12-02","0.00","0.0","72","40"
"USC00050848","BOULDER, CO US","2021-12-03","0.00","0.0","61","33"
"USC00050848","BOULDER, CO US","2021-12-04","0.00","0.0","69","28"
"USC00050848","BOULDER, CO US","2021-12-05","0.00","0.0","64","31"
"USC00050848","BOULDER, CO US","2021-12-06","0.00","0.0","31","14"
"USC00050848","BOULDER, CO US","2021-12-07","0.00","0.0","56","21"
"USC00050848","BOULDER, CO US","2021-12-08","0.00","0.0","56","25"
"USC00050848","BOULDER, CO US","2021-12-09","0.00","0.0","51","38"
"USC00050848","BOULDER, CO US","2021-12-10","0.09","1.0","42","24"
